answerset_data_id	parameter_definition_id	value_shorttext	value_text	answerset
8	Location1	Deventer		Deventers
9	Source1		"Woordenboekje van het Deventersch dialect (1936) door W. Draaijer; tweede druk: van der Lande en Fijn van Draat"	Deventers
10	Location1	Drenthe		Drents
11	Source1		"Drents woordenboek (1979). Drs. H Hadderingh en Bart Veenstra"	Drents
12	Location1	Utrecht		Utrechts
13	Source1		"Taal en leven in de Utrechtse Vechtstreek (1989) T. van Veen ed."	Utrechts
14	Location1	Warffum		Gronings
15	Source1		"Woordenboek der Groningsche volkstaal, in de 19e eeuw (1895). H. Molema"	Gronings
16	Location1	Groesbeek		Groesbeeks
17	Source1		"Giesbers, Th (Red.). 2007. De Woordenschat van het Groesbeeks. Matrijs: Utrecht.

van Hout, Roeland, Jan Roelofs en Leo van Stijn. 2006. Kie(k) däör, wà räör. Woordenboek van het Nimweegs dialect. Nijmegen: Selexyz Dekker v.d. Vegt.

Janssen, Wim. 1987. Zeg 't maar op z'n Nimwèègs: Woordenboek van het Nijmeegs dialect. Nijmegen: Dwarsstap.

van Os, Johan. 1980. Maas en Waals Woordenboek, en 22 verhalen in de streektaal. Zutphen: De Walburg Pers/ Vereniging Tweestromenland."	Groesbeeks
18	Location1	Tessenderlo		Loois
19	Location1	Wambeek		Wambeeks
21	Location1	Brugge		Brugs
22	Location1	Dendermonde		Dendermonds
23	Location1	Aalst		Aalsters
24	Source1		"Oilsjtersen Diksjoneir (2005). Louies, Jan. Uitgave Katanga v.z.w."	Aalsters
25	Source1		"Dendermonde: Volkstaal, typen, bijnamen (1975). Dierickx, Georges. De Hauwere."	Dendermonds
26	Source1		"Westvlaamsch idioticon (1992). Bew. door L.-L. De Bo; heruitg. door Joseph Samyn; De Bo, Leenaart Lodewijk. Samyn, Joseph (Editor). Roeselare: Familia et patria.
"	Brugs
27	Source1		"Het dialect van de regio Tessenderlo en Laakdal (2009). Ceustermans, Fil. Laakdal: Laakdalse werkgroep voor geschiedenis en heemkunde."	Loois
28	Source1		"Wambeek: bijdragen tot de geschiedenis (1993). Onder red. van Van Eeckhoudt, Luc en anderen. Leuven: Acco."	Wambeeks
29	Location1	Bree		Brees
30	Source1		"Woordenboek van het dialect van Bree en omgeving (1996). Schoofs, Rik. Groot-Bree: Geschied- en heemkundige kring, 2de uitg."	Brees
31	Location1	Lede		Leeds
32	Source1		"Leedse woordenschat en zegswijzen (2005). Bijl, Paul. De Smet."	Leeds
33	Location1	Leuven		Leuvens
34	Source1		"Het dialect van Leuven: Eene phonetisch-historische studie (1899). Goeman, Leo. Lier: Van In.
"	Leuvens
